iter	RMSE
141	1.261410965
142	1.260144128
143	1.258931976
144	1.257721987
145	1.256498875
146	1.25526593
147	1.254326897
148	1.253186903
149	1.252032305
150	1.250911229
151	1.249762282
152	1.248720095
153	1.247922316
154	1.247102945
155	1.246108943
156	1.245349689
157	1.244339276
158	1.243330052
159	1.242329013
160	1.241281338
161	1.240276378
162	1.239552616
163	1.238549921
164	1.237678486
165	1.236696416
166	1.235765319
167	1.234892012
168	1.233970823
169	1.233035192
170	1.23209098
171	1.231394689
172	1.230751815
173	1.229891451
174	1.229143992
175	1.228333557
176	1.227528658
177	1.226911248
178	1.226111447
179	1.225634275
180	1.225040131
181	1.224329796
182	1.22363214
183	1.223040704
184	1.222304534
185	1.221722445
186	1.221030109
187	1.220362018
188	1.219666431
189	1.219123543
190	1.218479646
191	1.217830256
192	1.217281189
193	1.216644961
194	1.215996756
195	1.215328814
196	1.214842288
197	1.214189256
198	1.213728526
199	1.21321383
200	1.212612259
201	1.212184659
202	1.211624018
203	1.211214895
204	1.210729546
205	1.210299042
206	1.209854413
207	1.209409243
208	1.208931298
209	1.20840281
210	1.207870689
211	1.207514291
212	1.207062392
213	1.206736234
214	1.206357315
215	1.205862852
216	1.20550713
217	1.204966456
218	1.204477274
219	1.204024211
220	1.203526766
221	1.203009487
222	1.202544098
223	1.202140096
224	1.201687411
225	1.201265096
226	1.200940242
227	1.200481464
228	1.200075669
229	1.199719932
230	1.199370174
231	1.199057388
232	1.198608855
233	1.198149568
234	1.197780888
235	1.197374425
236	1.19697665
237	1.196689004
238	1.196356932
239	1.196046971
240	1.195670291
241	1.195283964
242	1.194944558
243	1.194626335
244	1.194350714
245	1.194088429
246	1.193797927
247	1.193474349
248	1.193094399
249	1.192771995
250	1.192445155
251	1.192153173
252	1.192082632
253	1.191803733
254	1.191446604
255	1.191149139
256	1.190793759
257	1.190466586
258	1.190204196
259	1.189901353
260	1.189518265
261	1.189218575
262	1.188890119
263	1.188520643
264	1.188221802
265	1.187872368
266	1.187628274
267	1.187301103
268	1.186997108
269	1.186605612
270	1.186343399
271	1.186091913
272	1.185812201
273	1.185546174
274	1.185381866
275	1.185099661
276	1.184842341
277	1.184606413
278	1.184376159
279	1.184123527
280	1.183789869
281	1.183534602
282	1.183329454
283	1.183122206
284	1.182807985
285	1.182513477
286	1.182106882
287	1.181939019
288	1.181701071
289	1.181492198
290	1.181185233
291	1.181005189
292	1.180836152
293	1.180570516
294	1.180370502
295	1.180183565
296	1.179990423
297	1.179808478
298	1.179572994
299	1.179372485
300	1.179176119
301	1.17900382
302	1.178797321
303	1.17859265
304	1.178432959
305	1.178286887
306	1.178047285
307	1.177810918
308	1.177622319
309	1.177453794
310	1.177268359
311	1.177087732
312	1.176919053
313	1.176741914
314	1.17654562
315	1.176366344
316	1.176187682
317	1.176007868
318	1.175841576
319	1.175671029
320	1.175426361
321	1.175191179
322	1.175086044
323	1.174899033
324	1.174738195
325	1.17453544
326	1.174409117
327	1.174169138
328	1.173924352
329	1.173688898
330	1.173499667
331	1.173308379
332	1.173112391
333	1.17297227
334	1.172834933
335	1.172670929
336	1.172533358
337	1.17232767
338	1.172116347
339	1.171964007
340	1.171779427
341	1.17158552
342	1.171394315
343	1.171267226
344	1.171131594
345	1.170930164
346	1.170806376
347	1.170640091
348	1.170445938
349	1.170291912
350	1.170142407
351	1.170069314
352	1.169924484
353	1.169757498
354	1.169527523
355	1.16938374
356	1.169259347
357	1.169100702
358	1.168960194
359	1.168779256
360	1.168544816
361	1.168431099
362	1.168236571
363	1.168067663
364	1.16788115
365	1.167722734
366	1.167636425
367	1.167436928
368	1.167208924
369	1.167155254
370	1.166952756
371	1.166793474
372	1.166428234
373	1.16638111
374	1.166264262
375	1.166121574
376	1.165936694
377	1.165818915
378	1.165696394
379	1.16553638
380	1.165442029
381	1.165305365
382	1.165132421
383	1.165001333
384	1.164841554
385	1.164722898
386	1.164555174
387	1.164382984
388	1.164217739
389	1.164063619
390	1.163858731
391	1.163690707
392	1.16346797
393	1.163293956
394	1.163161695
395	1.163061347
396	1.162915298
397	1.162826254
398	1.162721395
399	1.1625757
400	1.162455872
401	1.16229498
402	1.162195561
403	1.162030786
404	1.161935661
405	1.161827345
406	1.161714132
407	1.161605507
408	1.161275234
409	1.161174265
410	1.161028104
411	1.160869052
412	1.16080655
413	1.160713695
414	1.160578605
415	1.160456034
416	1.160324978
417	1.160143884
418	1.160023249
419	1.159821184
420	1.159661844
421	1.159543886
422	1.159364325
423	1.159191269
424	1.159104257
425	1.158997105
426	1.158858648
427	1.158645389
428	1.158507394
429	1.158261224
430	1.158146229
431	1.158041952
432	1.157851345
433	1.157702522
434	1.157599456
435	1.157366598
436	1.157246895
437	1.157134945
438	1.157037427
439	1.156905192
440	1.156763701
441	1.156648034
442	1.156529807
443	1.156409606
444	1.156261216
445	1.156128453
446	1.156041011
447	1.155956823
448	1.155750422
449	1.155643688
450	1.155525631
451	1.15536219
452	1.155268181
453	1.155187609
454	1.155028157
455	1.154938533
456	1.154795239
457	1.154617352
458	1.154507652
459	1.154315979
460	1.154217333
461	1.154074624
462	1.153987741
463	1.153854084
464	1.153681474
465	1.153583714
466	1.153433956
467	1.153247683
468	1.153097901
469	1.152914051
470	1.152793543
471	1.152637306
472	1.152579525
473	1.152498677
474	1.152386625
475	1.152266712
476	1.152130304
477	1.152079934
478	1.151826597
479	1.151599765
480	1.151467275
481	1.151372283
482	1.151282239
483	1.15113427
484	1.150907319
485	1.150799486
486	1.150579966
487	1.150455887
488	1.150338
489	1.150200099
490	1.150066172
491	1.149949305
492	1.149861833
493	1.149745968
494	1.149672632
495	1.149498249
496	1.14939616
497	1.149181269
498	1.149054183
499	1.148958005
